번호,대분류,중분류,조건/트리거,문구,출처 파일,선택 방식,비고
1,즉시 잔소리 (say1),커피,메모 키워드: 커피·아메리카노·카페·라떼·스타벅스 등,또 마셨구나?,src/data/instantNagBubbles.ts,랜덤 1개,지출 저장 직후 2초 말풍선
2,즉시 잔소리 (say1),커피,메모 키워드: 커피·아메리카노·카페·라떼·스타벅스 등,또야? 내일 지켜본다,src/data/instantNagBubbles.ts,랜덤 1개,
3,즉시 잔소리 (say1),커피,메모 키워드: 커피·아메리카노·카페·라떼·스타벅스 등,차라리 커피숍을 차려라,src/data/instantNagBubbles.ts,랜덤 1개,
4,즉시 잔소리 (say1),커피,메모 키워드: 커피·아메리카노·카페·라떼·스타벅스 등,이 정도면 네 몸속에 피 대신 아메리카노가 흐르겠어.,src/data/instantNagBubbles.ts,랜덤 1개,
5,즉시 잔소리 (say1),커피,메모 키워드: 커피·아메리카노·카페·라떼·스타벅스 등,스타벅스 주주니? 배당금 받는 거 아니면 적당히 해.,src/data/instantNagBubbles.ts,랜덤 1개,
6,즉시 잔소리 (say1),택시,메모 키워드: 택시·taxi·우버 등,또 택시 탔구나? 다리는 뒀다 어디 쓰게?,src/data/instantNagBubbles.ts,랜덤 1개,
7,즉시 잔소리 (say1),택시,메모 키워드: 택시·taxi·우버 등,버스나 지하철이란 것도 있단다,src/data/instantNagBubbles.ts,랜덤 1개,
8,즉시 잔소리 (say1),택시,메모 키워드: 택시·taxi·우버 등,또 늦잠 잤지? 좀 걸어라.,src/data/instantNagBubbles.ts,랜덤 1개,
9,즉시 잔소리 (say1),택시,메모 키워드: 택시·taxi·우버 등,네 통장도 택시 미터기처럼 올라가는 속도가 예사롭지 않네.,src/data/instantNagBubbles.ts,랜덤 1개,
10,즉시 잔소리 (say1),배달,메모 키워드: 배달·배민·요기요·쿠팡이츠·픽업 등,픽업은 생각 안 해봤니?,src/data/instantNagBubbles.ts,랜덤 1개,
11,즉시 잔소리 (say1),배달,메모 키워드: 배달·배민·요기요·쿠팡이츠·픽업 등,치킨은 살 안 쪄. 너만 쪄.,src/data/instantNagBubbles.ts,랜덤 1개,
12,즉시 잔소리 (say1),배달,메모 키워드: 배달·배민·요기요·쿠팡이츠·픽업 등,또 배달 시켰어? 배가 많이 고팠구나.,src/data/instantNagBubbles.ts,랜덤 1개,
13,즉시 잔소리 (say1),배달,메모 키워드: 배달·배민·요기요·쿠팡이츠·픽업 등,라이더 분들이 너희 집 주소 외웠겠다. 그만 좀 불러라.,src/data/instantNagBubbles.ts,랜덤 1개,
